price,volume
9127.91,114598
9116.32,95609
9256.58,122685
9301.92,89003
9289.86,59600
9478.77,76248
9540,85292
9596.77,93209
9662.4,91505
9656.76,45850
9659.78,58827
9660.05,72893
9618.85,88677
9656.95,78588
9708.94,67954
9699.35,90676
9661.73,87277
9588.33,86422
9692.08,83201
9358.89,118040
9589.15,95630
9542.02,73342
9542.87,103683
9350.75,103247
9265.5,84875
9307.79,72300
9188.69,107431
9017.79,113773
9056.41,141175
9180.89,86964
9242.55,99301
9277.05,89477
9296.12,96946
9342.94,198584
9188.77,86791
9338.4,82231
9448.58,75842
9451.21,66826
9587.19,70498
9555.91,68773
9603.71,72835
9623.36,73976
9628.82,76386
9695.77,75314
9510.85,78800
9490.79,86191
9506.35,69917
9454.54,77874
9315.29,100490
9339.17,90917
9173.71,88157
9317.82,78803
9409.71,86295
9409.71,43147.5
9409.71,56670.75
9600.09,70194
9544.19,61217
9548.68,87814
9401.55,79230
9446.36,67539
9584.12,91468
9603.23,90291
9603.23,89176.5
9556.02,88062
9529.5,61912
9467.53,82063
9521.3,92733
9607.4,102023
9581.45,80084
9702.46,87508
9754.43,96844
9754.39,76079
9656.05,133897
9629.1,113085
9659.39,97857
9639.08,67588
9697.87,86239
9720.91,63696
9768.01,65281
9892.82,53846
9940.82,79798
9939.17,72749
9938.9,65743
9943.27,103680
9950.12,57920
9919.74,71969
9926.67,66442
9947.83,129943
9987.19,92995
10008.63,43200
10028.8,64853
9949.81,96286
9938.7,68483
9912.87,79418
9883.98,64029
9920.32,72084
9930.33,72977
10004,86693
9987.24,209560
9920.92,68730
9938.08,61266
9867.75,82312
9804.9,94925
9815.17,63249
9833.07,66650
9902.41,54519
9911.27,70230
10029.43,78288
10009.08,52047
9906.07,60506
9772.67,85865
9808.2,73590
9659.13,96879
9666.34,62278
9783.01,56260
9719.41,72126
9859.27,69460
9753.88,76538
9720.02,118114
9612.05,65237
9734.33,62369
9753.56,64737
9794.06,70367
9644.01,73402
9598.17,71997
9653.63,66002
9593.68,79991
9407.48,131077
9210.08,141582
9154.14,85304
9189.74,80561
9130.04,98898
9038.97,97955
9009.32,102516
9180.74,81229
9069.47,74775
9198.88,82252
9225.1,80394
9092.6,110262
9245.33,63822
9334.28,57793
9314.57,63230
9401.53,67875
9339.17,70037
9510.14,53554
9588.15,66737
9569.71,69031
9462.56,72124
9470.17,68471
9479.03,43072
9507.02,55157
9626.49,90121
9724.26,106652
9747.02,77345
9758.03,53013
9710.7,57198
9700.17,62415
9691.28,62050
9651.13,52625
9659.63,55751
9632.93,62265
9661.5,67217
9798.13,81236
9799.26,195350
9749.54,73981
9595.03,88196
9661.97,85851
9510.01,97697
9490.55,83500
9422.91,77425
9474.3,89860
9382.03,83527
9195.68,122375
9195.68,113025.5
9209.51,103676
9086.21,105002
8995.33,112047
9005.02,104108
8788.81,162566
8812.43,112875
8825.21,116078
8571.95,153532
8582.9,224468
8850.27,181971
8717.76,103016
8886.96,118317
8940.14,97874
9047.31,108377
8987.8,98966
8902.61,111765
9068.19,78581
9082.81,89708
9114.84,119733
9326.87,123211
9251.7,79778
9166.47,90366
9315.48,81035
9377.41,124002
9291.83,104437
9351.87,71163
9369.03,79810
9210.96,93734
9248.51,82312
9252.94,76730
9306.35,72034
9456.53,73982
9472.8,73153
9483.97,82098
9732.55,166634
9785.54,97612
9861.21,117774
9915.56,89124
9974.87,84700
9980.85,98907
9963.51,97093
9934.08,86631
9971.79,83605
9851.35,119705
10087.12,93445
10014.99,68931
9793.71,110064
9799.73,88531
9862.53,98963
9594.73,94545
9334.01,112719
9563.89,171052
9544.43,102079
9811.06,121016
9786.96,173453
9865.76,61833
9922.11,47508
9922.11,23754
9922.11,11877
9922.11,29514
9927.13,47151
9805.55,34753
9805.55,17376.5
9805.55,42525.25
9764.73,67674
9473.16,105538
9469.66,96812
9518.18,82467
9837.61,114825
9648.5,107473
9781.9,101316
9941,116361
9817.08,125069
10032.61,147822
10167.77,141082
10242.35,80650
10257.13,109024
10299.23,95571
10435.62,151256
10649.58,167797
10798.33,105119
10628.58,115894
10710.97,113074
10737.87,100310
10694.32,108714
10828.01,100490
10890.95,134336
10911.32,98694
10905.41,87663
10846.39,78680
10663.51,102797
10753.83,93678
10752.11,69852
10919.65,107103
10963.4,99482
10923.23,61995
10895.62,77400
10961,70942
11001.94,88000
11050.64,136029
11130.92,76626
11205.74,82594
11210.27,80915
11327.19,85073
11401.66,94058
11410.36,80281
11280.36,84804
11390.38,79991
11504.01,83133
11550.97,83006
11582.11,70116
11500.38,93042
11805.99,107890
11799.39,119851
11901.61,104888
12167.72,112370
11980.85,104121
11922.77,114362
11899.4,110434
12039.37,181398
11895.84,88385
12005.69,104206
11865.32,84586
11843.68,120047
11868.33,88496
12086.01,75164
11966.17,87377
