price,volume
1142.65,1874470
1149.13,1443560
1125.27,2001050
1121.74,2102260
1119.56,1931770
1141.63,2255290
1140,1587400
1134.02,1713190
1114.03,1979500
1116.51,1810120
1106.05,2220700
1117.78,1853260
1149.18,2427220
1156.3,2268240
1157.84,2406800
1147.82,2237890
1173,2937560
1190.22,4230750
1189.25,3443160
1184.36,2595390
1185.28,3661600
1185.28,3649435
1181.64,3637270
1193.07,3089500
1215.48,3748970
1218.98,3447780
1218.98,3140835
1214.87,2833890
1211.15,3112930
1220.49,3047830
1217.52,3067040
1194.1,2709030
1193.44,2794440
1175.16,2901540
1173.99,2423500
1163.82,2369760
1147.58,2331490
1150.13,2646830
1166.9,2417890
1177.95,2250970
1197.17,2477270
1197.17,2241375
1197.47,2005480
1196.78,1777940
1206.25,2086330
1205.52,2059390
1212.36,1750930
1214.44,2172470
1195.98,2727330
1203.35,2311250
1178.28,2411390
1198.36,2321040
1193.5,2903160
1204.5,3480760
1194.26,2815890
1183.03,2727070
1183.03,2676240
1182.58,2625410
1192.16,2582140
1184.73,2254090
1176.42,2232950
1185.65,2198330
1205.41,2575410
1204.19,2677490
1218.55,3018380
1239.04,3207910
1241.67,2840510
1236.86,2237200
1233.43,2178210
1246.31,2520990
1248.57,3038890
1259.61,2531560
1253.02,2485960
1247.08,2167090
1261.04,2276160
1258.66,2381410
1258.94,2306000
1262.54,2689630
1240.99,2540090
1229.65,2467070
1235.83,2058570
1255.32,2114250
1256.33,2142290
1250.45,2349480
1242.23,2198630
1238.88,3598930
1222.95,2245560
1232.31,1931590
1250.49,2528730
1263.07,2862930
1261.64,2555510
1261.64,2573040
1257.55,2590570
1258.18,2570680
1279.34,2657120
1290.07,2649900
1302.29,2910160
1302.29,1455080
1302.29,727540
1302.29,363770
1302.29,1644295
1292.15,2924820
1283.25,2710170
1306.23,3034690
1296.75,3020580
1298.48,3264710
1298.48,3141170
1269.08,3017630
1294.52,2688170
1294.39,3155720
1297.39,2738900
1293.86,2226870
1295.95,2376990
1299.63,2664140
1287.52,2906590
1264.6,3174930
1229.23,3264790
1224.31,2732000
1256.18,2363720
1224.09,3041080
1220.64,3080840
1196.32,2920680
1139.27,4233270
1162.64,3761190
1162.37,2719980
1189.14,2692760
1204.28,2180810
1204.28,2261415
1219.6,2342020
1199.74,2307660
1183.82,2897260
1192.05,2226320
1224,2924820
1218.52,2277400
1194.56,2568000
1222.31,2078570
1219.07,2329390
1233.66,2041660
1225.35,1921020
1217.35,2249160
1211.66,2328340
1196.76,2181320
1204.11,1931990
1212.9,1997970
1228.36,2245320
1236.97,2074200
1227.61,1877370
1233.21,1813900
1206.94,2020480
1203.46,1698240
1164.7,3225650
1154.93,1994960
1165.94,1718620
1164.33,2277120
1145.97,2418130
1145.97,2666960
1163.04,2915790
1163.7,2664230
1172.07,2444270
1176.9,2583960
1186.52,2192660
1202.89,2093240
1204.25,2172340
1211.36,2518490
1216.77,2069660
1215.89,1700440
1196.84,1778710
1174.56,1970140
1150.44,2334410
1149.49,1909240
1134.09,2388480
1132.76,1728810
1136.09,1749820
1166.55,2057000
1166.59,1906790
1173.37,1235400
1171.4,1779020
1162.5,1652490
1173.81,1750260
1164.9,1914010
1169.99,2054520
1160.74,1745730
1160.74,1882675
1162.44,2019620
1182.2,1955520
1182.48,1687570
1182.48,843785
1182.48,1475578
1152.01,2107370
1160.01,1785720
1165.51,1945390
1157.91,1828890
1178.35,1999670
1183.15,1926410
1178.29,2042650
1159.07,2041890
1150.07,1771730
1153.38,1798190
1150.05,1795770
1169.34,2345290
1180.44,2021050
1194.69,1743100
1195.11,1974500
1198.17,1983170
1200.68,1891110
1201.41,2777750
1220.47,2037510
1228.59,2226570
1233.95,2098600
1232.75,2023310
1234.57,2104090
1234.78,1727380
1228.73,1980030
1239.07,1787240
1237.75,2104590
1243.97,2718090
1234.68,1822280
1238.2,1679820
1249.15,1877220
1269.04,2776690
1268.92,2950910
1267.48,1960160
1268.5,2013590
1260.83,1812810
1263.43,1981530
1253.15,2511840
1262.56,2101970
1276.08,2394550
1280.78,2293860
1278.59,1931950
1285.24,1973880
1279.87,1681930
1275.7,2306790
1270.82,2044460
1259.25,1973860
1255.19,2127380
1265.46,1926690
1273.68,2092930
1273.59,1849630
1273.38,2285650
1263.29,1843780
1263.29,2075645
1273.27,2307510
1272.39,1785250
1269.86,1955650
1281.35,2090600
1286.07,1931150
1290.41,1681030
1292.24,1943980
1289.42,2409170
1281.3,2245820
1276.19,1921240
1263.53,2206600
1251.29,2119580
1258.12,2210850
1228.26,2754770
1252.51,1874910
1257.69,1618230
1262.13,1737410
1270.5,1837830
1270.68,1579370
1271.26,1552420
1280.29,1797530
1279.64,1832700
1291.19,2094950
1286.07,1757810
1291.31,1563830
1285.01,1823620
1285.92,2051550
1280.74,2030490
1277.97,2059370
1283.06,1811980
1297,2442320
1301.52,2488020
1296.39,2102350
1293.21,2026820
1298.64,1777440
1299.62,1896900
1306.79,1946370
1311.24,2131870
1313.72,2747290
1313.72,2306760
1310.86,1866230
1304.96,1896670
1317.91,2256440
1331.91,2580750
1330.88,1951790
1330.88,2057920
1326.18,2164050
1346.43,2379690
1331.95,2052090
1337.3,1853390
1326.29,2338950
1318.21,2207170
1280.15,2661020
1282.54,2160290
1296.4,2000260
1290.89,2111940
1274.85,2292550
1260.78,2270560
1243.09,2851630
1243.09,2801475
1214.27,2751320
1223.67,2297050
1195.5,3037500
1177.22,2754990
1224.34,2379620
1205.36,2255660
1236.41,2132040
1232.34,2014180
1242.32,1925750
1254.28,1820380
1252,1874420
1270.64,2187170
1278.9,2795850
1333.64,4012780
1333.64,4610880
1368.65,5208980
1371.76,3457150
1356.35,3186480
1363.67,2488340
1360.11,2053870
1375.21,2412550
1377.05,3120370
1389.51,2467880
1400.41,2954710
1366.13,2889710
1394.88,2562680
1396.54,2766570
1397.64,2453240
1400.18,2517050
1400.18,2617005
1409.15,2716960
1406.4,2211840
1391.9,2057010
1410.34,2329090
1421.65,2023620
1427.85,2013520
1429.75,2518590
1440.6,2238880
1445.67,2070060
1447.58,2153100
1436.09,2135620
1406.83,2543800
1397.04,2293160
1399.65,3106440
1379.29,2167180
1353.37,2429320
1352.01,2430850
1376.32,2728840
1409.61,2709300
1413.05,2188350
1413.05,2163860
1426.02,2139370
1421.26,1603030
1427.5,1620690
1424.67,1932470
1407.51,1666980
1407.51,833490
1407.51,416745
1407.51,1232852
1401.09,2048960
1361.14,2688410
1359.8,2209530
1377.67,2471740
1380.58,2503200
1380.58,2353985
1374.69,2204770
1357.98,2260190
1376.6,2506050
1363.73,2712280
1372.41,2039510
1397.63,2134830
1390.61,2187300
1389.43,1971080
1403.22,2084340
1402.08,1840600
1426.38,2186810
1429.92,2312640
1413.58,2413070
1415.07,2673630
1408.75,2296310
1392.39,2758190
1417,2727070
1410.11,2645400
1417.19,2212350
1424.92,2007550
1427.72,2004750
1427.72,2389000
1449.39,2773250
1449.38,2562230
1459.43,2466670
1462.07,2316600
1482.67,2723870
1494.93,2653540
1500.33,2406150
1502.83,2491900
1508.28,2320210
1507.62,2212850
1521.68,2391900
1523.85,2720460
1524.97,2170280
1526.83,2315920
1517.01,2137320
1523.72,1824650
1540.84,2128440
1531.76,1797710
1524.75,2137760
1525.67,1926590
1546.63,2184490
1560.33,3198730
1558.21,1977100
1570.5,1942490
1582.46,2044690
1575.81,2266730
1580.51,2130140
1592.25,1885670
1587.59,2092060
1592.01,2146470
1568.82,2299150
1552.78,2568180
1557.77,2102200
1543.11,2364250
1528.99,2510310
1554.17,2387720
1564.16,1713510
1560.71,1592400
1578.55,2095450
1588.47,2291080
1594.19,1987840
1589.54,2045790
1586.26,1702470
1590.82,1733320
1588.81,1952810
1599.42,2540070
1588.69,2683280
1582.68,2084430
1608.88,2298190
1621.79,2795420
1624.87,2750470
1618.84,2139390
1619.07,1870040
1627.43,2087210
1627.43,2403350
1592.79,2719490
1585.61,2231840
1585.61,1115920
1585.61,557960
1585.61,1461815
1574.64,2365670
1587.76,2565260
1598.33,2893770
1602.27,2731270
1604.21,2791590
1591.49,2574840
1607.11,2548720
1626.66,2764950
1633.33,2584230
1643.4,2570910
1646.8,2524980
1647.85,2074800
1659.15,2052480
1659.57,1913950
1661.33,2551800
1672.76,3119080
1673.65,3291900
1678.56,2490720
1674.21,2772650
1669.99,2406890
1673.89,2494940
1667.06,2332320
1661.99,2117080
1634.37,2366800
1628.23,2535220
1648.88,2118400
1651.48,2684020
1651.92,1704160
1639.86,1994410
1633.7,1887980
1616.66,2023960
1631.01,2405930
1648.61,2043640
1676.4,2831270
1679.89,2629450
1670.91,2080320
1667.03,2191270
1624.82,2538270
1630.4,2585000
1636.41,2166720
1648.24,2238530
1652.09,2178420
1620.36,2417720
1637.23,2225940
1582.48,3195570
1579.89,3711870
1583.55,2761930
1613.51,2053450
1638.71,2462680
1646.41,2044690
1660.83,2127560
1662.94,1873080
1662.94,1925740
1673.88,1978400
1655.37,2161320
1664.88,1840870
1655.86,1798110
1637.9,1888050
1629.46,2166880
1633.94,2033920
1647.21,2598420
1659.52,2571850
1659.6,2412340
1659.83,2383400
1665.85,2584080
1673.58,2508780
1679.19,2313360
1691.29,2190900
1687.6,2425570
1665.75,2539690
1667.95,2420650
1664.46,2051330
1672.87,1708820
1672.22,1801150
1648.48,2099750
1623.88,2115570
1573.01,2765270
1480.87,3949330
1432.65,4740040
1478.97,3447390
1500.41,2820170
1549.8,2959770
1537.05,2473600
1478.11,1255830
1465.99,2939950
1474.98,2222370
1444.53,2652580
1445.65,2383810
1416.71,2234770
1507.37,2796000
1479.52,2447850
1480.23,2815070
1462.41,1845990
1462.24,2080330
1472.6,1888230
1491.91,1929350
1462.38,2408680
1462.38,1204340
1462.38,602170
1462.38,1487035
1426.97,2371900
1453.81,2642240
1438.67,1931390
1375.52,2794160
1411.16,2583150
1442.74,2314780
1444.92,1886800
1463.92,1896540
1475.84,2438360
1493.17,2328390
1481.4,2311540
1515.13,2549250
1515.13,2332245
1503.13,2115240
1470.83,2434330
1490.72,2179780
1505.84,2031950
1494.75,1875440
1499.28,1781570
1526.81,2121660
1518.22,1842400
1547.84,2127850
1558.99,1810510
1543.11,1898760
1547.19,1719930
1547.11,2725570
1558.2,2668550
1526.97,2171620
1526.97,2433085
1540.43,2694550
1555.1,2453890
1563.59,2036080
1590.97,2514720
1589.48,2069250
1595.32,2135340
1593.57,2097410
1585.83,2222620
1571.53,1787500
1586.11,2250500
1586.53,1937340
1600.38,2077550
1603.18,1844550
1603.18,1953320
1605.94,2062090
1594.67,2007650
1602.32,1868270
1594.45,1851650
1580.25,2466930
1601.95,2050180
1602.26,1898070
1602.94,1863360
1574.02,2047190
1585.21,1657600
1568.73,1921850
1555.58,2043460
1540.35,1865610
1549.51,2405210
1527.88,2039120
1502.55,2068060
1540.72,2129140
1564.71,2248520
1537.1,2987510
1531.28,2355800
1533.6,1974590
1533.6,1980830
1523.62,1987070
1516.19,1912880
1529.22,1555260
1543.39,1578730
1547.3,1490010
1547.3,745005
1547.3,1365788
1509.67,1986570
1504.71,1923640
1488.84,2076180
1457.94,2374860
1447.32,2591240
1447.32,2613200
1401.95,2635160
1442.09,2139090
1406.55,2600010
1402.45,2448750
1387.93,2230000
1390.41,2173180
1338.97,2566220
1301.49,3185940
1374.19,2604310
1392.63,2291700
1360.23,2157290
1400.7,2257570
1392.1,2145390
1432.07,4125050
1462.67,3502480
1452.04,2771480
1406.27,3103820
1388.81,3128410
1368.97,3389650
1380.41,2738030
1304.33,3173350
1264.96,3849030
1264.96,4276595
1196.28,4704160
1292.23,3280180
1297.01,3158640
1282.4,2840080
1311.2,2628200
1291.82,2291460
1300,2037480
1291.17,2322180
1284.53,2205300
1307.54,2398600
1311.27,2163120
1297.85,2492810
1300.83,2224630
1349.61,2489770
1369.05,2744280
1375.35,2652720
1361.9,2216940
1347.72,2546330
1332.33,2249200
1352.17,1983260
1359.32,2761560
1379.95,2019760
1372.08,2093250
