price,volume
1709.91,1373852
1701.84,501457
1697.42,489428
1692.77,460818
1698.67,408875
1691.75,464569
1681.55,605954
1695,440246
1693.87,467281
1678.66,482093
1690.5,421107
1676.12,413591
1655.45,537021
1656.4,548555
1692.56,533384
1703.2,470002
1710.14,410558
1698.06,499721
1721.54,507676
1733.15,522976
1744.5,685297
1744.66,484953
1754.67,556149
1746.38,520475
1752.07,512871
1759.77,528512
1762.11,564005
1771.95,479777
1763.31,469583
1756.54,624290
1761.64,538311
1767.93,420024
1762.97,477732
1770.49,492661
1747.15,590009
1770.61,564637
1771.89,376761
1767.69,444458
1782,505308
1790.62,509930
1798.18,656776
1791.53,482498
1787.87,459569
1781.37,461741
1795.85,479361
1804.76,439915
1802.48,471349
1802.75,558535
1807.23,372649
1807.23,362873.5
1805.81,353098
1800.9,461947
1795.15,525408
1792.81,573025
1785.03,556844
1805.09,499811
1808.36,485615
1802.62,464118
1782.22,545718
1775.5,516063
1775.32,440291
1786.54,529194
1781,506318
1810.65,690180
1809.6,510586
1818.32,1387107
1827.99,433647
1833.32,183931
1833.32,238602
1842.02,293273
1841.4,269984
1841.07,301816
1848.36,393922
1848.36,419999
1831.98,446076
1831.37,387737
1826.77,491156
1837.88,496528
1837.49,576758
1838.13,520632
1842.37,486021
1819.2,574069
1838.88,510487
1848.38,556881
1845.89,473037
1838.7,806647
1838.7,700476
1843.8,594305
1844.86,500007
1828.46,581097
1790.29,711185
1781.56,631898
1792.5,494782
1774.2,601114
1794.19,545041
1782.59,755380
1741.89,744277
1755.2,620707
1751.64,578631
1773.43,561418
1797.02,589310
1799.84,485826
1819.75,532935
1819.26,483526
1829.83,534755
1838.63,488468
1838.63,513236
1840.76,538004
1828.75,516752
1839.78,512917
1836.25,673576
1847.61,694457
1845.12,498266
1845.16,493821
1854.29,506493
1859.45,716526
1845.73,498458
1873.91,544441
1873.81,482066
1877.03,498566
1878.04,497040
1877.17,430738
1867.63,442986
1868.2,449370
1846.34,512753
1841.13,491443
1858.83,452592
1872.25,408703
1860.77,499477
1872.01,467186
1866.52,1546978
1857.44,588008
1865.62,491561
1852.56,557827
1849.04,583008
1857.62,453538
1872.33,577814
1885.52,517337
1890.9,465008
1888.77,486951
1865.09,638969
1845.04,658210
1851.96,552300
1872.18,528286
1833.08,636878
1815.69,662182
1830.61,524945
1842.98,591857
1862.31,536608
1864.85,665681
1864.85,555627
1871.89,445573
1879.55,492961
1875.39,477805
1878.61,523936
1863.4,526707
1869.43,644490
1878.33,489827
1883.95,629090
1883.68,468010
1881.14,463670
1884.66,417770
1867.72,474484
1878.21,563540
1875.63,488608
1878.48,473573
1896.65,448903
